Parada;nodo Inter Urbano;TIPO MOBILIARIO (ACTUAL);COD_DIS;DISTRITO;DIRECCIÓN;VIAL;Nº;emplazamiento;sentido;Direccion_completa;Coord ED50_X;Coord ED50_Y;CONT PILAS;nº_linea EMT;X ETRS89 U.T.M.;Y ETRS89 U.T.M.;Longitud;Latitud
444;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;SERRANO;CALLE;Nº 127;;PZA INDEPENDENC;SERRANO, CALLE Nº127 - PZA INDEPENDENCIA;441921;4477302;SI;16/19/51/N1/CT/;441811,5788;4477094,507;-3,686131397;40,44246595
445;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;SERRANO;CALLE;Nº 111;;PZA INDEPENDENC;SERRANO, CALLE Nº111 - PZA INDEPENDENCIA;441909;4477105;SI;16/19/51/;441799,5767;4476897,506;-3,686254863;40,44069043
457;;MARQUESINA MOD XXI 5-M REDUCIDA;5;CHAMARTIN;RAMON Y CAJAL;AV;Nº 4;ESQ C/MARCENADO;C/ ARTURO SORIA;RAMON Y CAJAL, AV Nº4 - C/ ARTURO SORIA;442950;4478295;SI;43/120/;442840,5835;4478087,498;-3,674088012;40,45148266
459;;MARQUESINA MOD XXI 5-M STD;5;CHAMARTIN;RAMON Y CAJAL;AV;Nº 32;ESQ. C/ GABRIL Y GALAN;C/ ARTURO SORIA;RAMON Y CAJAL, AV Nº32 - C/ ARTURO SORIA;443220;4478371;SI;43/120/;443110,5831;4478163,495;-3,67091089;40,4521858
466;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;SILVANO;CALLE;Nº 0;Nº 105 A 117 ESQ C/ JOSE DOMINGO RUS;C/ MOSCATELAR;SILVANO, CALLE  Nº 105 A 117 ANT C/ JOSE DOMINGO RUS - C/ MOSCATELAR;446450,0766;4479520,936;SI;120/N3/;446340,6572;4479313,391;-3,632917305;40,46275948
467;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;ANDRES JAUREGUI;PZA;Nº 0;JTO PARQUE;C/ PEDROÑERAS;ANDRES JAUREGUI, PZA  JTO PARQUE - C/ PEDROÑERAS;446733,5296;4479543,767;SI;120/;446624,1093;4479336,218;-3,629576071;40,46298338
469;;MARQUESINA MOD XXI 5-M REDUCIDA ;16;HORTALEZA;PEDROÑERAS;CALLE;Nº 0;FTE Nº 3;MOTA DEL CUERVO;PEDROÑERAS, CALLE  FTE Nº 3 - MOTA DEL CUERVO;446693,6674;4479707,405;SI;73/120/;446584,2487;4479499,857;-3,630059979;40,46445496
472;;MARQUESINA MOD XXI 5-M STD;16;HORTALEZA;MOTA DEL CUERVO;CALLE;Nº 48;FTE Nº 13;C/PEDROÑERAS;MOTA DEL CUERVO, CALLE Nº48 FTE Nº 13 - C/ PEDROÑERAS;446551;4479740;SI;73/120/N3/;446441,5821;4479532,454;-3,631745443;40,46473943
474;;MARQUESINA MOD XXI 5-M STD;16;HORTALEZA;MOTA DEL CUERVO;CALLE;Nº 16;FTE Nº 1;C/PEDROÑERAS;MOTA DEL CUERVO, CALLE Nº16 FTE Nº 1 - C/ PEDROÑERAS;446342;4479735;SI;73/120/N3/;446232,5828;4479527,457;-3,634210116;40,46468092
476;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;EMIGRANTES;CALLE;Nº 0;ESQ CTRA DE CANILLAS;AV. DEL MACHUPICHU;EMIGRANTES, CALLE ANT CTRA DE CANILLAS - AV DEL MACHUPICHU;446165,4698;4479851,003;SI;112/120/153/;446056,0543;4479643,463;-3,636302087;40,46571452
477;;MARQUESINA MOD XXI 5-M STD;16;HORTALEZA;EMIGRANTES;CALLE;Nº 14;;GTA MAR CRISTAL;EMIGRANTES, CALLE Nº14 - GTA MAR CRISTAL;446114,5334;4480035,519;SI;112/120/153/;446005,1197;4479827,981;-3,636918559;40,46737344
478;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;EMIGRANTES;CALLE;Nº 0;ESQ. C/ TRIBALDOS;AV. DEL MACHUPICHU;EMIGRANTES, CALLE ANT C/ TRIBALDOS - AV DEL MACHUPICHU;446088,5022;4480022,01;SI;112/120/153/;445979,0885;4479814,472;-3,637224453;40,46725005
480;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;AYACUCHO;CALLE;Nº 0;PZA. C/ SANDRO PERTINI;GRAN VIA D HORTALEZA;AYACUCHO, CALLE  PZA SANDRO PERTINI  - GRAN VIA DE HORTALEZA;445692,4202;4480328,619;SI;87/120/125/172/;445583,0107;4480121,089;-3,641922563;40,46998636
484;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;VALDETORRE DEL JARAMA;CALLE;Nº 0;ESQ C/ ANGEL LUIS DE LA HERRAN;SANDRO PERTINI;VALDETORRE DEL JARAMA, CALLE  DESP C/ ANGEL LUIS DE LA HERRAN - GTA SANDRO PERTINI;445425,1566;4480433,01;SI;120/125/172/;445315,749;4480225,484;-3,645084089;40,47090925
487;;MARQUESINA MOD XXI 4-M STD;16;HORTALEZA;VALDETORRE DEL JARAMA;CALLE;Nº 0;ESQ. PZA. SANTOS DE HUMOSA;PZA. SANTOS DE HUMO;VALDETORRE DEL JARAMA, CALLE  ANT PZA SANTOS DE LA HUMOSA - PZA SANTOS DE LA HUMOSA;445158,2926;4480624,423;SI;120/125/172/;445048,8877;4480416,902;-3,648248516;40,47261603
492;;MARQUESINA MOD XXI 5-M REDUCIDA;7;CHAMBERI;ALMAGRO;CALLE;Nº 30;ESQ C/ MARQUES RISCAL;C/ EDUARDO DATO;ALMAGRO, CALLE Nº30 ANT C/ MARQUES RISCAL - C/ EDUARDO DATO;441354,699;4475958,831;SI;7/;441245,2663;4475751,338;-3,692684446;40,43032623
494;;MARQUESINA MOD XXI 4-M STD;7;CHAMBERI;ALMAGRO;CALLE;Nº 44;ESQ C/ EDUARDO DATO 25 M.;C/ EDUARDO DATO;ALMAGRO, CALLE Nº44 ANT C/ EDUARDO DATO - C/ EDUARDO DATO;441458;4476165;SI;7/;441348,5689;4475957,507;-3,691485676;40,43219079
496;;MARQUESINA MOD XXI 4-M STD;8;FUENCARRAL - EL PARDO;CAMINO DE SANTIAGO;AV;Nº 7;DESP C/ ESTELLA;C/ PUERTO DE SOMPORT;CAMINO DE SANTIAGO, AV Nº7 DESP C/ ESTELLA - C/ PUERTO DE SOMPORT;442999,2282;4483311,347;SI;176/               ;442889,855;4483103,872;-3,67395867;40,49667574
497;;MARQUESINA MOD XXI 5-M STD;15;CIUDAD LINEAL;ARTURO SORIA;CALLE;Nº 278;ESQ C/ GOMEZ HERMANS  25 M.;M-40;ARTURO SORIA, CALLE Nº278 DESP C/ GOMEZ HERMANS - M-40;443571;4480472;SI;7/29/107/N1/;443461,5999;4480264,501;-3,666958698;40,4711366
