TIPO_DATO;LOTE;COD_DIST;DISTRITO;COD_BARRIO;BARRIO;DIRECCION COMPLETA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;TIPO_NUMERO;NUMERO;UTM_X;UTM_Y;LATITUD;LONGITUD;DIRECCIÓN COMPLETA AMPLIADA;MÁS INFORMACIÓN
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CALLE DE SAN CIPRIANO, 48;CALLE;DE;SAN CIPRIANO;Número;48;448762.3401;4472764.724;40.40391787;-3.60382691;CALLE DE SAN CIPRIANO, 48;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CAMINO   VIEJO DE VICALVARO, 46;CAMINO; ;VIEJO DE VICALVARO;Número;46;448209.1608;4472793.661;40.40414433;-3.61034804;CAMINO   VIEJO DE VICALVARO, 46;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CALLE DE LARDERO, 4;CALLE;DE;LARDERO;Número;4;448161.9225;4473553.173;40.41098357;-3.61096657;CALLE DE LARDERO, 4;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;CALLE DEL ABAD JUAN CATALAN, 24;CALLE;DEL;ABAD JUAN CATALAN;Número;24;449686.0201;4472965.716;40.40578487;-3.59295795;CALLE DEL ABAD JUAN CATALAN, 24;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;CALLE DE CORDEL DE PAVONES, 20;CALLE;DE;CORDEL DE PAVONES;Número;20;447532.1992;4472428.542;40.40081271;-3.6182954;CALLE DE CORDEL DE PAVONES, 20;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;193;VALDERRIBAS;CALLE DE MINERVA, 33;CALLE;DE;MINERVA;Número;33;449063.9895;4472494.637;40.40150325;-3.6002506;CALLE DE MINERVA, 33;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;191;CASCO HISTORICO DE VICALVARO;PLAZA DE ALOSNO, 4;PLAZA;DE;ALOSNO;Número;4;447671.2432;4473000.347;40.40597265;-3.61670397;PLAZA DE ALOSNO, 4;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;CALLE DE LA LADERA DE LOS ALMENDROS, 27;CALLE;DE LA;LADERA DE LOS ALMENDROS;Número;27;447008.8287;4472358.449;40.40014813;-3.62445677;CALLE DE LA LADERA DE LOS ALMENDROS, 27;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;19;VICALVARO;192;VALDEBERNARDO;CALLE DE LOS PINILLAS, 33;CALLE;DE LOS;PINILLAS;Número;33;447499.1938;4472120.893;40.39803914;-3.61865896;CALLE DE LOS PINILLAS, 33;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
CONTENEDOR DE ROPA;02;14;MORATALAZ;144;MEDIA LEGUA;CALLE DEL CAMINO DE LOS VINATEROS, 12;CALLE;DEL;CAMINO DE LOS VINATEROS;Número;12;443963.1917;4473544.533;40.41063366;-3.66044929;CALLE DEL CAMINO DE LOS VINATEROS, 12;"Además se puede depositar ropa usada en los puntos limpios fijos y móviles www.madrid.es/puntoslimpios
"
